winner_name,percent_servept_won,percent_breakpt_saved,winner_ioc,Sum_Sum_w_1stWon,Sum_Sum_w_2ndWon,Sum_Sum_w_svpt,Sum_Sum_w_bpSaved,Sum_Sum_w_bpFaced
Betina Jozami,0.6335078534031413,0.8,ARG,76,45,191,20,25
Anda Perianu,0.6200716845878136,0.7647058823529411,ROU,124,49,279,26,34
Yvonne Neuwirth,0.5573770491803278,0.7272727272727273,AUT,17,17,61,8,11
Capucine Rousseau,0.6111111111111112,0.7272727272727273,FRA,33,22,90,8,11
Freya Christie,0.5555555555555556,0.7272727272727273,GBR,25,10,63,8,11
Ayla Aksu,0.5412371134020618,0.7105263157894737,USA,70,35,194,27,38
Ioana Minca,0.47959183673469385,0.7058823529411765,ROU,32,15,98,12,17
Viktoria Kamenskaya,0.49411764705882355,0.7,RUS,31,11,85,14,20
Tatia Mikadze,0.6153846153846154,0.7,GEO,57,15,117,7,10
Frances Altick,0.5081967213114754,0.6923076923076923,USA,30,1,61,9,13
Zsofia Gubacsi,0.48031496062992124,0.6896551724137931,HUN,45,16,127,20,29
Trudi Musgrave,0.552,0.6875,AUS,45,24,125,11,16
Silvia Njiric,0.45454545454545453,0.6875,CRO,19,6,55,11,16
Chanel Simmonds,0.5486111111111112,0.68,RSA,54,25,144,17,25
Claire Feuerstein,0.5765472312703583,0.6688311688311688,FRA,453,255,1228,103,154
An Sophie Mestach,0.565625,0.6666666666666666,BEL,138,43,320,28,42
Maria Kondratieva,0.6082474226804123,0.6666666666666666,RUS,45,14,97,8,12
Yuka Yoshida,0.4307692307692308,0.6666666666666666,JPN,15,13,65,10,15
Anhelina Kalinina,0.611764705882353,0.6666666666666666,UKR,60,44,170,12,18
Leanne Baker,0.5280898876404494,0.6521739130434783,NZL,69,25,178,15,23
Anastasia Potapova,0.4861878453038674,0.6486486486486487,RUS,48,40,181,24,37
Eva Maria Hoch,0.4583333333333333,0.6470588235294118,AUT,19,14,72,11,17
Montserrat Gonzalez,0.5351681957186545,0.6470588235294118,PAR,120,55,327,33,51
Sabine Klaschka,0.5421686746987951,0.6428571428571429,GER,62,28,166,18,28
Lauren Embree,0.43859649122807015,0.6428571428571429,USA,16,9,57,9,14
Harriet Dart,0.5,0.6428571428571429,GBR,17,18,70,9,14
Erika Takao,0.5108695652173914,0.6428571428571429,JPN,32,15,92,9,14
Clarisa Fernandez,0.5334114888628371,0.6384615384615384,ARG,300,155,853,83,130
Samantha Murray,0.5291828793774319,0.6363636363636364,GBR,83,53,257,28,44
