winner_name,percent_servept_won,percent_breakpt_saved,winner_ioc,Sum_Sum_w_1stWon,Sum_Sum_w_2ndWon,Sum_Sum_w_svpt,Sum_Sum_w_bpSaved,Sum_Sum_w_bpFaced
Camila Silva,0.41818181818181815,0.45454545454545453,CHI,13,10,55,5,11
Susanne Celik,0.3888888888888889,0.45454545454545453,SWE,16,5,54,5,11
Nan Nan Liu,0.47244094488188976,0.45454545454545453,CHN,39,21,127,10,22
Anna Kalinskaya,0.5417218543046357,0.45454545454545453,RUS,285,124,755,40,88
Sharon Fichman,0.5167748917748918,0.4525862068965517,CAN,696,259,1848,105,232
Iveta Benesova,0.509090909090909,0.4523809523809524,CZE,107,61,330,19,42
Yurika Sema,0.5152224824355972,0.45098039215686275,JPN,173,47,427,23,51
Maria Vento Kabchi,0.48774193548387096,0.45045045045045046,VEN,518,238,1550,100,222
Erika Sema,0.5006622516556292,0.45045045045045046,JPN,309,69,755,50,111
Ya Hsuan Lee,0.4931506849315068,0.4489795918367347,TPE,344,160,1022,66,147
Nungnadda Wannasuk,0.47668393782383417,0.4482758620689655,THA,65,27,193,13,29
Magdalena Frech,0.5264900662251656,0.4473684210526316,POL,218,100,604,34,76
Fangzhou Liu,0.5621468926553672,0.4473684210526316,CHN,397,200,1062,51,114
Allie Kiick,0.45661157024793386,0.4470588235294118,USA,151,70,484,38,85
Zhaoxuan Yang,0.5229591836734694,0.44680851063829785,CHN,156,49,392,21,47
Myriam Casanova,0.5268505079825835,0.4457831325301205,SUI,236,127,689,37,83
Anca Barna,0.5047318611987381,0.44565217391304346,GER,229,91,634,41,92
Maria Abramovic,0.5,0.4444444444444444,CRO,46,15,122,8,18
Chi Chi Scholl,0.5276381909547738,0.4444444444444444,USA,65,40,199,12,27
Els Callens,0.5378670788253478,0.4444444444444444,BEL,252,96,647,32,72
Isha Lakhani,0.4827586206896552,0.4444444444444444,IND,15,13,58,4,9
Dally Randriantefy,0.4684065934065934,0.4444444444444444,MAD,252,89,728,48,108
Claudia Giovine,0.47619047619047616,0.4444444444444444,ITA,22,8,63,4,9
Mira Antonitsch,0.5081967213114754,0.4444444444444444,AUT,20,11,61,4,9
Katie Boulter,0.5747126436781609,0.4444444444444444,GBR,34,16,87,4,9
Lena Rueffer,0.45901639344262296,0.4444444444444444,GER,16,12,61,4,9
Nadia Echeverria Alam,0.42,0.4444444444444444,USA,14,7,50,4,9
Alina Abdurakhimova,0.46296296296296297,0.4444444444444444,UZB,18,7,54,4,9
