tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
1988-W-SL-USA-01A-1988,US Open,Hard,128,G,19880829,119,200404,11,,Zina Garrison,U,,USA,24.7857631759,12,56,200017,,,Arantxa Sanchez Vicario,R,,ESP,16.6981519507,21,36,4-6 7-5 6-2,3,R16
1988-W-SL-USA-01A-1988,US Open,Hard,128,G,19880829,122,200259,3,,Chris Evert,R,,USA,33.6892539357,3,163,200401,6,,Manuela Maleeva Fragniere,R,,SUI,21.5386721424,8,73,3-6 6-4 6-2,3,QF
1988-W-WT-USA-25A-1988,Chicago,Carpet,28,W,19881107,021,200293,1,,Martina Navratilova,L,173,USA,32.0547570157,2,213,200404,7,,Zina Garrison,U,,USA,24.977412731,9,68,6-3 6-3,3,QF
1988-W-WT-USA-25A-1988,Chicago,Carpet,28,W,19881107,022,200377,5,,Helena Sukova,R,,CZE,23.704312115,8,76,200572,3,,Gabriela Sabatini,R,,ARG,18.4804928131,4,145,6-3 2-6 6-2,3,QF
1988-W-WT-USA-26A-1988,Virginia Slims Championships,Carpet,16,W,19881114,010,200360,5,,Pam Shriver,R,,USA,26.3655030801,5,116,200259,3,,Chris Evert,R,,USA,33.9000684463,3,161,7-5 6-4,3,QF
1988-W-WT-USA-24A-1988,Worcester,Carpet,32,W,19881031,029,200293,1,,Martina Navratilova,L,173,USA,32.0355920602,2,208,200572,3,,Gabriela Sabatini,R,,ARG,18.4613278576,4,146,7-5 6-3,3,SF
1988-W-WT-SUI-02A-1988,Zurich,Carpet,32,W,19881017,030,200401,5,,Manuela Maleeva Fragniere,R,,SUI,21.6728268309,8,77,200049,,,Conchita Martinez,R,170,ESP,16.5037645448,51,17,4-6 6-4 6-4,3,SF
1989-W-SL-FRA-01A-1989,French Open,Clay,128,G,19890529,122,200652,,,Monica Seles,L,,USA,15.4880219028,22,40,200401,6,,Manuela Maleeva Fragniere,R,,SUI,22.2861054073,9,77,6-3 7-5,3,QF
1989-W-SL-USA-01A-1989,US Open,Hard,128,G,19890828,121,200414,1,,Steffi Graf,R,,GER,20.205338809,1,299,200377,8,,Helena Sukova,R,,CZE,24.5092402464,8,85,6-1 6-1,3,QF
1989-W-WT-FRG-02A-1989,German Open,Clay,56,W,19890515,055,200414,1,,Steffi Graf,R,,GER,19.9178644764,1,317,200572,2,,Gabriela Sabatini,R,,ARG,18.9979466119,3,157,6-3 6-1,3,F
1989-W-WT-GBR-03A-1989,Brighton,Carpet,32,W,19891023,027,200652,3,,Monica Seles,L,,USA,15.8904859685,7,91,200348,6,,Hana Mandlikova,R,,AUS,27.6741957563,16,50,6-0 6-1,3,QF
1985-W-SL-AUS-01A-1985,Australian Open,Grass,64,G,19851125,060,200293,2,,Martina Navratilova,L,173,USA,29.1033538672,1,,200377,8,,Helena Sukova,R,,CZE,20.7529089665,7,,6-2 6-2,3,QF
1985-W-SL-FRA-01A-1985,French Open,Clay,128,G,19850527,017,200348,3,,Hana Mandlikova,R,,AUS,23.266255989,3,,200597,,,Mary Joe Fernandez,R,,USA,13.7713894593,,,6-1 7-5,3,R128
1985-W-SL-FRA-01A-1985,French Open,Clay,128,G,19850527,126,200259,2,,Chris Evert,R,,USA,30.431211499,2,,200572,14,,Gabriela Sabatini,R,,ARG,15.0308008214,17,,6-4 6-1,3,SF
1985-W-WT-AUS-03A-1985,Brisbane,Grass,56,W,19851111,055,200293,1,,Martina Navratilova,L,173,USA,29.0650239562,2,,200360,2,,Pam Shriver,R,,USA,23.356605065,4,,6-3 7-5,3,F
1985-W-WT-USA-29A-1985,Fort Lauderdale,Hard,32,W,19850930,031,200293,1,,Martina Navratilova,L,173,USA,28.9500342231,2,,200414,2,,Steffi Graf,R,,GER,16.295687885,7,,6-3 6-1,3,F
